Token,Count
9834,1736
10042,1665
5171,1368
4493,1016
16017,997
13670,973
8867,967
5360,948
14703,938
15826,906
948,904
14037,868
1556,850
9470,812
13909,803
4815,801
6783,785
112,771
5113,754
8581,752
5722,741
11334,732
5772,728
23,727
15575,724
12480,711
7749,709
1270,707
10813,696
10278,694
1139,693
10797,689
7467,683
1872,679
8283,679
1024,674
5625,674
10227,673
10274,667
6628,664
6882,653
11718,652
13236,652
9514,646
7103,643
10909,636
14247,635
358,635
2255,632
12623,622
13500,619
7106,600
11348,600
11716,594
6690,593
12016,593
12627,592
8663,571
9713,571
16274,570
14447,570
11196,569
9206,567
14747,565
1464,562
9296,561
12618,560
1227,557
2439,557
7986,556
11456,555
3812,553
12566,553
3168,552
167,552
11941,546
15645,546
910,545
3132,542
1268,539
2105,537
9589,536
13519,536
6965,535
14933,534
3516,533
3742,529
12509,521
1952,519
3272,519
9000,519
11927,514
10295,513
1933,512
9453,511
6660,511
11147,509
4635,509
8583,505
14673,500
